block,trial,repetition,adapt_condition,adapt_filename,adapt_rating,test_filename,test_rating,rating
1,1,1,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_03.85.png,3.852134,5
1,2,1,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_03.35.png,3.352134,4
1,3,1,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_02.85.png,2.852134,3
1,4,2,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_02.85.png,2.852134,3
1,5,2,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_03.85.png,3.852134,5
1,6,2,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_03.35.png,3.352134,4
1,7,3,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_03.85.png,3.852134,5
1,8,3,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_02.85.png,2.852134,3
1,9,3,lav,synthetic_rating_01.85.png,1.854549,synthetic_rating_03.35.png,3.352134,4
2,10,1,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_03.85.png,3.852134,2
2,11,1,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_03.35.png,3.352134,2
2,12,1,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_02.85.png,2.852134,1
2,13,2,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_02.85.png,2.852134,1
2,14,2,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_03.35.png,3.352134,2
2,15,2,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_03.85.png,3.852134,3
2,16,3,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_03.35.png,3.352134,2
2,17,3,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_03.85.png,3.852134,4
2,18,3,høj,synthetic_rating_05.10.png,5.101460,synthetic_rating_02.85.png,2.852134,1
