set,filename,target_rating,target_rating_exact,alpha,clipped_pixel_fraction,pcs_outside_observed_range,n_selected_pcs
requested,synthetic_rating_00.50.png,0.50,0.500000,-7.85593e+06,0.0000,1,19
requested,synthetic_rating_01.00.png,1.00,1.000000,-6.47873e+06,0.0000,1,19
requested,synthetic_rating_01.50.png,1.50,1.500000,-5.10153e+06,0.0000,0,19
requested,synthetic_rating_02.00.png,2.00,2.000000,-3.72433e+06,0.0000,0,19
requested,synthetic_rating_02.50.png,2.50,2.500000,-2.34712e+06,0.0000,0,19
requested,synthetic_rating_03.00.png,3.00,3.000000,-969920,0.0000,0,19
requested,synthetic_rating_03.50.png,3.50,3.500000,407282,0.0000,0,19
requested,synthetic_rating_04.00.png,4.00,4.000000,1.78449e+06,0.0000,0,19
requested,synthetic_rating_04.50.png,4.50,4.500000,3.16169e+06,0.0000,0,19
requested,synthetic_rating_05.00.png,5.00,5.000000,4.53889e+06,0.0000,0,19
requested,synthetic_rating_05.50.png,5.50,5.500000,5.91609e+06,0.0000,0,19
in_range,synthetic_rating_01.85.png,1.85,1.854549,-4.12496e+06,0.0000,0,19
in_range,synthetic_rating_02.18.png,2.18,2.179240,-3.23063e+06,0.0000,0,19
in_range,synthetic_rating_02.50.png,2.50,2.503931,-2.3363e+06,0.0000,0,19
in_range,synthetic_rating_02.83.png,2.83,2.828622,-1.44196e+06,0.0000,0,19
in_range,synthetic_rating_03.15.png,3.15,3.153313,-547633,0.0000,0,19
in_range,synthetic_rating_03.48.png,3.48,3.478005,346698,0.0000,0,19
in_range,synthetic_rating_03.80.png,3.80,3.802696,1.24103e+06,0.0000,0,19
in_range,synthetic_rating_04.13.png,4.13,4.127387,2.13536e+06,0.0000,0,19
in_range,synthetic_rating_04.45.png,4.45,4.452078,3.02969e+06,0.0000,0,19
in_range,synthetic_rating_04.78.png,4.78,4.776769,3.92402e+06,0.0000,0,19
in_range,synthetic_rating_05.10.png,5.10,5.101460,4.81835e+06,0.0000,0,19
exp3_adapt,synthetic_rating_01.85.png,1.85,1.854549,-4.12496e+06,0.0000,0,19
exp3_adapt,synthetic_rating_05.10.png,5.10,5.101460,4.81835e+06,0.0000,0,19
exp3_test,synthetic_rating_02.85.png,2.85,2.852134,-1.3772e+06,0.0000,0,19
exp3_test,synthetic_rating_03.35.png,3.35,3.352134,0,0.0000,0,19
exp3_test,synthetic_rating_03.85.png,3.85,3.852134,1.3772e+06,0.0000,0,19
